epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,val_separation,sep_base,n_dup,tops,clean_max_corr,max_pair_corr,min_energy_ratio,n_dead,lr,sec,corr_e0_x_clean,corr_e1_x_clean,corr_e2_x_clean,corr_e3_x_clean,corr_e4_x_clean,corr_e5_x_clean,corr_e6_x_clean,corr_e7_x_clean,corr_e0_bw,corr_e1_bw,corr_e2_bw,corr_e3_bw,corr_e4_bw,corr_e5_bw,corr_e6_bw,corr_e7_bw,corr_e0_ma,corr_e1_ma,corr_e2_ma,corr_e3_ma,corr_e4_ma,corr_e5_ma,corr_e6_ma,corr_e7_ma,corr_e0_em,corr_e1_em,corr_e2_em,corr_e3_em,corr_e4_em,corr_e5_em,corr_e6_em,corr_e7_em
1,0.378074498280235,0.3394962121611056,3.5675132585608442,0.09300100430846214,1.9731387366419253,0.15566444227430556,0.0038339614868164174,0.3038339614868164,2,5222,0.10891367495059967,0.6615831851959229,0.04546213522553444,0,0.001,4.797532081604004,0.08866564929485321,0.08972670137882233,0.10500921308994293,0.09979379922151566,0.07518605887889862,0.10891367495059967,0.08735073357820511,0.09214083850383759,0.4279841482639313,0.319186806678772,0.4930371642112732,0.3843730688095093,0.2603747844696045,0.43445566296577454,0.33223116397857666,0.37498870491981506,0.321662575006485,0.2664795517921448,0.38171982765197754,0.34010618925094604,0.23371097445487976,0.37947332859039307,0.2884371280670166,0.30604520440101624,0.21063639223575592,0.16757141053676605,0.23166516423225403,0.20234254002571106,0.1504126489162445,0.22865869104862213,0.19173015654087067,0.2001427710056305
2,0.2471260551525199,0.20917636544808096,3.515173455943232,0.051927359734216465,2.2786848648734717,0.13822724971064815,-0.12545941472053523,0.3245405852794647,3,2222,0.11804421246051788,0.6039261221885681,0.05243152379989624,0,0.001,4.39104962348938,0.09301469475030899,0.08608853816986084,0.11804421246051788,0.10743541270494461,0.09858166426420212,0.1075998917222023,0.07990705221891403,0.09603701531887054,0.4476659595966339,0.3399485647678375,0.5252819657325745,0.4076988697052002,0.3972660303115845,0.37351396679878235,0.3251328468322754,0.42973849177360535,0.33795660734176636,0.2725430727005005,0.41193097829818726,0.39920270442962646,0.340537965297699,0.39137208461761475,0.3036237955093384,0.34273457527160645,0.21349066495895386,0.17242734134197235,0.24290522933006287,0.2048288881778717,0.20545122027397156,0.1896211802959442,0.1678749918937683,0.22305524349212646
3,0.22283329976641614,0.18678872546424036,3.39769985364831,0.025403399506340855,1.8135390696318254,0.12160025589554398,-0.12568632960319515,0.3243136703968048,3,2222,0.12048766762018204,0.5645463466644287,0.03758694976568222,0,0.001,4.310420513153076,0.09061893820762634,0.08521830290555954,0.12048766762018204,0.09751898795366287,0.09585700929164886,0.10300050675868988,0.0772915855050087,0.08769281953573227,0.3459010124206543,0.3004097640514374,0.5241806507110596,0.3509579002857208,0.362216591835022,0.32741570472717285,0.27740830183029175,0.37432441115379333,0.27900204062461853,0.26819995045661926,0.40914446115493774,0.34861382842063904,0.30842167139053345,0.35691893100738525,0.26347771286964417,0.31757333874702454,0.18152841925621033,0.1688842475414276,0.2434418946504593,0.18900109827518463,0.1973007321357727,0.17773985862731934,0.15765859186649323,0.19587232172489166
4,0.2132456088843553,0.17913869671199634,3.2496162704799487,0.013213438265349554,1.4786170410073323,0.11878132459852431,-0.13644645810127254,0.3135535418987274,3,2222,0.13562558591365814,0.4669916331768036,0.045545462518930435,0,0.001,4.524713039398193,0.09414000064134598,0.0903964415192604,0.13562558591365814,0.08832859992980957,0.09435806423425674,0.10767171531915665,0.08663763850927353,0.08110490441322327,0.36134907603263855,0.393587589263916,0.483126699924469,0.3154500126838684,0.3865765929222107,0.30034559965133667,0.3049646317958832,0.3442210257053375,0.27413296699523926,0.31978681683540344,0.39219239354133606,0.2844636142253876,0.32932206988334656,0.32200416922569275,0.2773374915122986,0.29261934757232666,0.1907123178243637,0.19517181813716888,0.2432694137096405,0.19529996812343597,0.21019954979419708,0.18536944687366486,0.1960449069738388,0.20009273290634155
5,0.2042319295199021,0.17160319245379904,3.111616684042889,0.016908418306190033,1.343486557836118,0.11001693838614005,-0.11788965463638301,0.33211034536361694,3,2222,0.1380918025970459,0.49028733372688293,0.03112643025815487,0,0.001,5.220354795455933,0.09436004608869553,0.08979177474975586,0.1380918025970459,0.09247302263975143,0.08678332716226578,0.11782187223434448,0.08228052407503128,0.08460552990436554,0.3418768048286438,0.3458199203014374,0.5021734237670898,0.29163655638694763,0.3705040514469147,0.35017696022987366,0.28677886724472046,0.3471970856189728,0.3065169155597687,0.2905784845352173,0.41215360164642334,0.2784227430820465,0.3081197738647461,0.34745460748672485,0.2282751500606537,0.2866079807281494,0.1792759895324707,0.17974697053432465,0.2760225832462311,0.2552596628665924,0.19438813626766205,0.23085269331932068,0.25814133882522583,0.19234530627727509
6,0.1911880367476007,0.16017185022001681,2.9730703830718994,0.006261227227261533,1.222871614539105,0.10666460842556423,-0.11247844696044917,0.3375215530395508,3,2222,0.14185521006584167,0.5454245805740356,0.026371058076620102,0,0.001,4.301490068435669,0.09320295602083206,0.08934434503316879,0.14185521006584167,0.1082051694393158,0.09182210266590118,0.1217799261212349,0.09295834600925446,0.08578061312437057,0.3358747959136963,0.36293157935142517,0.5092813968658447,0.2900163233280182,0.394164502620697,0.32552480697631836,0.285331666469574,0.37244975566864014,0.299540638923645,0.3045533001422882,0.41680848598480225,0.28753018379211426,0.3262440860271454,0.33506399393081665,0.22478599846363068,0.2978033423423767,0.1788395494222641,0.18923746049404144,0.2821410596370697,0.2552681863307953,0.21197956800460815,0.2309611737728119,0.2550179958343506,0.19919610023498535
7,0.18713531027669492,0.15765267934488214,2.836668449899425,0.00509972264484057,1.0649497353512307,0.11434775797526042,-0.1176203608512878,0.33237963914871216,3,2222,0.14531485736370087,0.48862743377685547,0.017188897356390953,0,0.001,4.330904006958008,0.09439456462860107,0.09439095109701157,0.14531485736370087,0.12066038697957993,0.08377085626125336,0.12186992913484573,0.10266947746276855,0.08897428214550018,0.41194626688957214,0.39719080924987793,0.4860716760158539,0.2433265745639801,0.366301953792572,0.3055412769317627,0.2553844451904297,0.3877709209918976,0.29398196935653687,0.3231002688407898,0.40564507246017456,0.23925337195396423,0.29968252778053284,0.32434454560279846,0.21370606124401093,0.3091752827167511,0.21017208695411682,0.19747374951839447,0.29248693585395813,0.24312913417816162,0.2039380967617035,0.2443319410085678,0.2311648577451706,0.19474877417087555
8,0.18376307966916458,0.15518584393936655,2.729089581448099,0.023478545734415882,1.0515542237654976,0.10534534143518519,-0.10796738862991329,0.34203261137008667,3,2222,0.14819695055484772,0.4720853269100189,0.03193001076579094,0,0.001,4.28976583480835,0.09534583240747452,0.09240653365850449,0.14819695055484772,0.13408514857292175,0.08820971846580505,0.1307835429906845,0.11797879636287689,0.08457069098949432,0.31903257966041565,0.34918874502182007,0.5047821998596191,0.25545188784599304,0.3650091588497162,0.34723609685897827,0.24202558398246765,0.38884153962135315,0.2755034565925598,0.2888509929180145,0.4227585196495056,0.2523004412651062,0.3042809069156647,0.35417717695236206,0.19009244441986084,0.31207075715065,0.1667046844959259,0.18211786448955536,0.292392760515213,0.2458285689353943,0.19875597953796387,0.24214373528957367,0.21905264258384705,0.20301319658756256
9,0.16986295321713324,0.14255627665830695,2.620385491329691,0.00888738080697215,1.0139479222504988,0.09402988801179109,0.04524437785148622,0.3452443778514862,2,3222,0.15686360001564026,0.44819626212120056,0.014571134932339191,0,0.001,4.387632608413696,0.09375298023223877,0.09267052263021469,0.1497531533241272,0.15686360001564026,0.08307015150785446,0.13016366958618164,0.12581780552864075,0.0856110155582428,0.3782223165035248,0.40265902876853943,0.5031529664993286,0.2528590261936188,0.36846694350242615,0.320435494184494,0.24522966146469116,0.3813803195953369,0.3002660572528839,0.3309060335159302,0.4227263927459717,0.22855573892593384,0.31314513087272644,0.3330094814300537,0.2107866108417511,0.2950423061847687,0.2027600109577179,0.21427245438098907,0.29823458194732666,0.2219175398349762,0.19812887907028198,0.2264728993177414,0.21758615970611572,0.21219003200531006
10,0.15676634013652802,0.13059134392634683,2.517148961191592,0.001878193964290878,0.9847263071847998,0.08788464581524884,0.04354838728904725,0.34354838728904724,2,3222,0.20674650371074677,0.44893184304237366,0.012282250449061394,0,0.001,4.407904863357544,0.09267985820770264,0.09305388480424881,0.14761114120483398,0.20674650371074677,0.0799965038895607,0.134654238820076,0.13857154548168182,0.08480605483055115,0.40819552540779114,0.4136783480644226,0.47347527742385864,0.21721705794334412,0.3437941372394562,0.32710638642311096,0.22460350394248962,0.3766839802265167,0.31589820981025696,0.3414154350757599,0.40255334973335266,0.19644322991371155,0.2886134088039398,0.33855903148651123,0.1982380449771881,0.28782951831817627,0.21376146376132965,0.20820406079292297,0.2914184629917145,0.18849579989910126,0.19238145649433136,0.23345208168029785,0.2276993840932846,0.20771971344947815
