인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.4111,0.1128,1.3496,0.0688,1.3425,0.0631,1.327,0.0691
enc2,1.3234,0.1354,0.812,0.3428,1.1002,0.2907,1.2052,0.23
enc3,1.3304,0.112,1.1497,0.2912,0.8396,0.2645,1.292,0.1719
enc4,1.2849,0.0955,1.1749,0.1938,1.233,0.161,0.7994,0.2248
