지표,박동수,참값_중앙,처리전_값중앙,처리전_편향중앙,처리전_절대오차중앙,처리전_절대오차평균,처리전_절대오차_p90,처리후_값중앙,처리후_편향중앙,처리후_절대오차중앙,처리후_절대오차평균,처리후_절대오차_p90,오차축소_중앙,개선된_박동비율
ST60_mV,8988,-0.05033,-0.06718,0.0008,0.10039,0.15564,0.35441,-0.0766,-0.00578,0.05065,0.06521,0.138,0.04974,0.7036
ST80_mV,8988,-0.04733,-0.06844,0.00175,0.10488,0.16174,0.36793,-0.06902,0.00427,0.05594,0.06965,0.14305,0.04894,0.69548
QT_ms,5630,411.11111,355.55556,-19.44444,66.66667,93.04369,227.77778,363.88889,13.88889,86.11111,116.00761,277.77778,-19.44444,0.17479
QTc_ms,5017,434.14425,376.52203,-18.3324,69.72167,98.14063,246.33836,384.68372,15.69257,92.16235,120.3012,279.52381,-22.44068,0.15621
R진폭_mV,8988,1.90717,1.86103,-0.00472,0.05614,0.09824,0.22486,1.74462,-0.07635,0.112,0.13788,0.28482,-0.05587,0.33834
QRS면적_mVms,8988,59.41852,60.99345,1.54506,2.06681,4.57813,10.59532,56.20306,-2.3578,3.38081,4.57351,10.05151,-1.314,0.40421
