,x_clean,bw,ma,em
enc0,0.1199,0.127,0.1167,0.1685
enc1,0.0901,0.3414,0.3108,0.1882
enc2,0.138,0.5767,0.4886,0.299
enc3,0.5895,0.0482,0.0398,0.0465
enc4,0.0731,0.2999,0.2662,0.1589
enc5,0.1719,0.0638,0.0687,0.3351
enc6,0.0891,0.347,0.2752,0.221
enc7,0.105,0.4289,0.3581,0.2167
