,x_clean,bw,ma,em
enc0,0.098,0.3297,0.2996,0.2069
enc1,0.0873,0.3056,0.2798,0.1668
enc2,0.1205,0.5741,0.4602,0.2623
enc3,0.0645,0.2055,0.1773,0.2417
enc4,0.0623,0.1973,0.1763,0.13
enc5,0.1076,0.3676,0.3104,0.2166
enc6,0.0681,0.274,0.2256,0.1645
enc7,0.0743,0.2756,0.2354,0.161
