인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.4443,0.11,1.3626,0.0654,1.3613,0.0578,1.3635,0.0611
enc2,1.3358,0.1245,0.8382,0.343,1.1264,0.2943,1.2282,0.224
enc3,1.3503,0.1139,1.1385,0.3101,0.8707,0.2778,1.3028,0.1808
enc4,1.3295,0.0906,1.212,0.2054,1.2696,0.1629,0.8095,0.2282
