인코더,배정참조,corr,corr_sd,rmse_norm,mad,r_QRS,F1,누출_최대참조,누출_corr,누출비
enc1,x_clean,0.8953,0.0588,0.4443,2.1581,0.967,0.9845,ma,0.0792,0.0884
enc2,bw,0.6321,0.2515,0.8382,2.0749,0.0586,0.0219,ma,0.4093,0.6475
enc3,ma,0.6003,0.23,0.8707,3.1625,0.0508,0.0225,bw,0.4111,0.6849
enc4,em,0.6485,0.1976,0.8095,2.8328,0.4773,0.1544,bw,0.2889,0.4454
