인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,2.1581,0.6062,8.194,1.048,7.9442,1.0451,7.8333,1.0337
enc2,7.676,1.2708,2.0749,0.7542,3.5567,0.9703,4.0676,0.8714
enc3,7.4607,1.2398,2.9011,0.8082,3.1625,0.8759,4.1479,0.7025
enc4,7.4107,1.2356,3.942,0.85,4.3263,0.7343,2.8328,0.7024
