인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.8953,0.0588,0.0775,0.0738,0.0792,0.0678,0.0778,0.0685
enc2,0.1184,0.1352,0.6321,0.2515,0.4093,0.2295,0.2798,0.2016
enc3,0.1063,0.1236,0.4111,0.2352,0.6003,0.23,0.2108,0.1605
enc4,0.1194,0.1067,0.2889,0.1897,0.2184,0.1596,0.6485,0.1976
