인코더,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc1,0.967,0.058,0.0528,0.0708,0.0179,0.0456,0.042,0.0567
enc2,0.0593,0.0586,0.0502,0.0702,0.0456,0.0453,0.0412,0.0564
enc3,0.0605,0.0606,0.0508,0.0717,0.0466,0.0485,0.0409,0.0522
enc4,0.0876,0.0593,0.0436,0.4773,0.0776,0.0484,0.0385,0.224
