순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,114_0043,0.8907,enc1,x_clean,0.8915,0.4658,2.2249
1,114_0043,0.8907,enc1,bw,0.2995,1.1836,7.0814
1,114_0043,0.8907,enc1,ma,0.2734,1.2055,7.1927
1,114_0043,0.8907,enc1,em,0.0187,1.4009,6.7015
1,114_0043,0.8907,enc2,x_clean,0.0031,1.4164,7.7631
1,114_0043,0.8907,enc2,bw,0.9459,0.3291,1.128
1,114_0043,0.8907,enc2,ma,0.835,0.5744,2.7752
1,114_0043,0.8907,enc2,em,0.1603,1.2959,4.6097
1,114_0043,0.8907,enc3,x_clean,0.0296,1.3932,7.6667
1,114_0043,0.8907,enc3,bw,0.8156,0.6073,1.4238
1,114_0043,0.8907,enc3,ma,0.8921,0.4644,2.3101
1,114_0043,0.8907,enc3,em,0.1501,1.3037,3.7385
1,114_0043,0.8907,enc4,x_clean,0.0086,1.4081,7.5473
1,114_0043,0.8907,enc4,bw,0.0525,1.4508,4.6905
1,114_0043,0.8907,enc4,ma,0.0169,1.4261,4.2696
1,114_0043,0.8907,enc4,em,0.8331,0.5777,1.9106
2,114_0098,0.885,enc1,x_clean,0.9335,0.3648,2.4309
2,114_0098,0.885,enc1,bw,0.0439,1.3828,6.5915
2,114_0098,0.885,enc1,ma,0.0181,1.4014,5.8918
2,114_0098,0.885,enc1,em,0.1369,1.3139,6.3805
2,114_0098,0.885,enc2,x_clean,0.0891,1.3498,7.042
2,114_0098,0.885,enc2,bw,0.8829,0.4839,1.2466
2,114_0098,0.885,enc2,ma,0.3619,1.6504,4.0637
2,114_0098,0.885,enc2,em,0.1994,1.2654,4.0872
2,114_0098,0.885,enc3,x_clean,0.0263,1.4327,6.4187
2,114_0098,0.885,enc3,bw,0.17,1.5297,4.1678
2,114_0098,0.885,enc3,ma,0.894,0.4604,2.1687
2,114_0098,0.885,enc3,em,0.0519,1.4505,4.0633
2,114_0098,0.885,enc4,x_clean,0.124,1.3236,6.1713
2,114_0098,0.885,enc4,bw,0.1996,1.2652,4.8941
2,114_0098,0.885,enc4,ma,0.0317,1.3916,4.5121
2,114_0098,0.885,enc4,em,0.8297,0.5836,2.4114
3,100_0109,0.8833,enc1,x_clean,0.8951,0.458,2.346
3,100_0109,0.8833,enc1,bw,0.1451,1.3076,8.9524
3,100_0109,0.8833,enc1,ma,0.1405,1.3111,8.3968
3,100_0109,0.8833,enc1,em,0.0053,1.418,9.0604
3,100_0109,0.8833,enc2,x_clean,0.1551,1.2999,7.9317
3,100_0109,0.8833,enc2,bw,0.8747,0.5006,1.05
3,100_0109,0.8833,enc2,ma,0.6234,0.8679,2.2358
3,100_0109,0.8833,enc2,em,0.0248,1.4316,4.2831
3,100_0109,0.8833,enc3,x_clean,0.1152,1.3302,7.9358
3,100_0109,0.8833,enc3,bw,0.4191,1.0778,2.0054
3,100_0109,0.8833,enc3,ma,0.885,0.4796,1.7322
3,100_0109,0.8833,enc3,em,0.092,1.3476,3.8111
3,100_0109,0.8833,enc4,x_clean,0.0607,1.3706,8.337
3,100_0109,0.8833,enc4,bw,0.2326,1.2389,3.8447
3,100_0109,0.8833,enc4,ma,0.1645,1.2927,3.9158
3,100_0109,0.8833,enc4,em,0.8784,0.4932,1.995
