인코더,배정참조,corr,corr_sd,rmse_norm,mad,F1,누출_최대참조,누출_corr,누출비,r_QRS
enc1,x_clean,0.2561,0.1494,1.2138,7.1179,0.7827,bw,0.4534,1.7702,0.5053
enc2,bw,0.6494,0.2488,0.8135,2.0418,0.0803,ma,0.4084,0.6289,
enc3,ma,0.1356,0.091,1.3175,9.275,0.9224,x_clean,0.7302,5.3839,
enc4,em,0.3528,0.1766,1.1302,4.9599,0.8922,x_clean,0.5733,1.6248,
