인코더,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc1,0.5053,0.0621,0.0992,0.2373,0.0985,0.049,0.0774,0.1177
enc2,0.0726,0.0622,0.0554,0.0719,0.0544,0.0477,0.0474,0.0535
enc3,0.887,0.0591,0.0643,0.1207,0.0394,0.0467,0.0485,0.0865
enc4,0.7741,0.061,0.0569,0.2577,0.0843,0.0474,0.043,0.145
