인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,7.1179,1.6296,4.2038,2.2023,4.6813,2.1162,4.5062,2.0871
enc2,7.7404,1.2934,2.0418,0.7445,3.5534,0.9939,4.0828,0.8948
enc3,5.7628,1.4898,9.4198,1.2486,9.275,1.2709,9.2674,1.266
enc4,5.4841,1.4308,5.085,1.2743,5.264,1.2125,4.9599,1.1558
