인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.2561,0.1494,0.4534,0.2331,0.3618,0.2023,0.3513,0.1933
enc2,0.1169,0.1418,0.6494,0.2488,0.4084,0.2346,0.2887,0.2034
enc3,0.7302,0.0687,0.1227,0.0943,0.1356,0.091,0.1628,0.0942
enc4,0.5733,0.1317,0.2911,0.1816,0.2991,0.1846,0.3528,0.1766
